gdsn_attribute_name,gdsn_occurrences,gdsn_bms_ids,gdsn_data_type,gdsn_code_list,proposed_webvoc_property,proposed_webvoc_label,proposed_webvoc_range,match_percentage,suggestion_status,auto_emit,match_reasons,second_candidate,second_percentage,third_candidate,third_percentage,source_versions,review_note,review_consensus_status,reviewer_count,accept_count,needs_human_review_count,reject_count,no_equivalent_count,mean_reviewer_confidence,reviewer_decisions,recommended_action
availableLanguageCode,1,522,LanguageCode,LanguageCode,gs1:availableLanguage,Available Language,xsd:string,75.5,review_candidate,false,"sterke naamgelijkenis (88%); gedeelde termen: available, language; datatype/range broadly compatible",gs1:fileLanguageCode,44.0,gs1:availableAtOrFrom,37.1,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,4,0,4,0,0,74.5,antigravity=needs_human_review | gemini=needs_human_review | deepresearch=needs_human_review | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
awardPrizeCode,1,584,string,,gs1:awardPrizeCode,Award Prize Code,xsd:string,100.0,strong_candidate,false,"exacte naam; gedeelde termen: award, prize; definitie-overlap: achievement, award, indicates, prize, relation, runner, shortlisted, up; datatype/range broadly compatible",gs1:awardPrize,84.4,gs1:awardPrizeName,67.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",unanimous_accept,4,4,0,0,0,99.2,antigravity=accept | gemini=accept | deepresearch=accept | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
awardPrizeCountryCode,1,585,CountryCode,CountryCode,gs1:awardPrizeCountryCode,Award Prize Country Code,gs1:Country,100.0,strong_candidate,false,"exacte naam; gedeelde termen: award, country, prize; definitie-overlap: award, country, given, identifying, iso, prize, standard; datatype/range broadly compatible; codelijstsignaal",gs1:awardPrize,67.2,gs1:awardPrizeCode,60.2,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",strong_accept_consensus,4,3,1,0,0,97.0,antigravity=accept | gemini=accept | deepresearch=needs_human_review | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
awardPrizeDescription,1,586,Description500,,gs1:awardPrizeDescription,Award Prize Description,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: award, description, prize; definitie-overlap: awards, describes, text, won; datatype/range broadly compatible",gs1:awardPrize,55.2,gs1:awardPrizeCode,40.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",unanimous_accept,4,4,0,0,0,99.2,antigravity=accept | gemini=accept | deepresearch=accept | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
awardPrizeDescription/@languageCode,1,587,LanguageCode,LanguageCode,gs1:awardPrizeDescription,Award Prize Description,rdf:langString,63.9,review_candidate,false,"sterke naamgelijkenis (76%); gedeelde termen: award, description, prize; datatype/range broadly compatible",gs1:awardPrize,43.6,gs1:awardPrizeCode,40.4,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",conflicted,3,1,1,0,1,83.7,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=no_equivalent,Keep review-only; resolve conflicting semantics or target property.
awardPrizeJury,1,588,string,,gs1:awardPrizeJury,Award Prize Jury,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: award, jury, prize; definitie-overlap: awarded, free, jury, listing, members, prize, text; datatype/range broadly compatible",gs1:awardPrize,69.1,gs1:awardPrizeName,52.0,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",strong_accept_consensus,4,3,1,0,0,97.2,antigravity=accept | gemini=accept | deepresearch=needs_human_review | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
awardPrizeName,1,589,string,,gs1:awardPrizeName,Award Prize Name,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: award, prize; definitie-overlap: award, prize, received; datatype/range broadly compatible",gs1:awardPrize,84.4,gs1:awardPrizeCode,67.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",strong_accept_consensus,4,3,1,0,0,97.2,antigravity=accept | gemini=accept | deepresearch=needs_human_review | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
awardPrizeYear,1,590,gYear,,gs1:awardPrizeYear,Award Prize Year,xsd:gYear,100.0,strong_candidate,false,"exacte naam; gedeelde termen: award, prize, year; definitie-overlap: award, given, prize, was, year; datatype/range broadly compatible",gs1:awardPrize,75.1,gs1:awardPrizeName,58.0,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",strong_accept_consensus,4,3,1,0,0,95.8,antigravity=accept | gemini=accept | deepresearch=accept | chatgpt=needs_human_review,Eligible for human promotion review; structure and codelists still required.
baseNumberOfUnits/@measurementUnitCode,1,3362,MeasurementUnitCode,MeasurementUnitCode_GDSN,gs1:unitCode,Measurement Unit,xsd:string,61.0,review_candidate,false,"matige naamgelijkenis (58%); gedeelde termen: measurement, unit; definitie-overlap: measure, unit, used; datatype/range broadly compatible; codelijstsignaal",gs1:nutrientBasisQuantityType,19.2,gs1:value,15.9,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,74.7,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
batteryCapacity/@measurementUnitCode,1,6291,MeasurementUnitCode,MeasurementUnitCode_GDSN,gs1:unitCode,Measurement Unit,xsd:string,61.0,review_candidate,false,"matige naamgelijkenis (58%); gedeelde termen: measurement, unit; definitie-overlap: measure, unit, used; datatype/range broadly compatible; codelijstsignaal",gs1:nutrientBasisQuantityType,19.2,gs1:value,15.9,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,74.7,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
batteryVoltage/@measurementUnitCode,1,6293,MeasurementUnitCode,MeasurementUnitCode_GDSN,gs1:unitCode,Measurement Unit,xsd:string,62.0,review_candidate,false,"matige naamgelijkenis (60%); gedeelde termen: measurement, unit; definitie-overlap: measure, unit, used; datatype/range broadly compatible; codelijstsignaal",gs1:nutrientBasisQuantityType,18.0,gs1:value,16.5,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,75.0,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
batteryWeight/@measurementUnitCode,1,616,MeasurementUnitCode,MeasurementUnitCode_GDSN,gs1:unitCode,Measurement Unit,xsd:string,62.0,review_candidate,false,"matige naamgelijkenis (60%); gedeelde termen: measurement, unit; definitie-overlap: measure, unit, used; datatype/range broadly compatible; codelijstsignaal",gs1:nutrientBasisQuantityType,18.0,gs1:value,16.5,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,75.0,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
catchCountryCode,1,7211,CountryCode,CountryCode,gs1:countryCode,Country Code,xsd:string,69.9,review_candidate,false,"sterke naamgelijkenis (78%); gedeelde termen: country; definitie-overlap: 1, 3166, country, iso; datatype/range broadly compatible; codelijstsignaal",gs1:awardPrizeCountryCode,41.9,gs1:countrySubdivisionCode,37.4,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,72.0,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
certificationAgency,2,1069 | 665,string,,gs1:certificationAgency,Certification Agency,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: agency, certification; definitie-overlap: being, certification, issuing, met, other, requirement, standard; datatype/range broadly compatible",gs1:certificationAgencyURL,76.6,gs1:certification,61.5,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",strong_accept_consensus,4,3,0,0,0,99.3,antigravity=accept | gemini=accept | deepresearch=alternative gs1:certificationAgencyURL: needs_human_review | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
certificationStatementOnPackage,2,7199 | 7202,Description500,,gs1:certificationStatement,Certification Statement,rdf:langString,67.7,review_candidate,false,"sterke naamgelijkenis (82%); gedeelde termen: certification, statement; definitie-overlap: certification, statement; datatype/range broadly compatible",gs1:certification,47.8,gs1:certificationType,39.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,4,1,3,0,0,73.0,antigravity=needs_human_review | gemini=accept | deepresearch=needs_human_review | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
cfpCountryCode,1,8728,CountryCode,CountryCode,gs1:countryCode,Country Code,xsd:string,69.4,review_candidate,false,"sterke naamgelijkenis (86%); gedeelde termen: country; definitie-overlap: country, specifying, values; datatype/range broadly compatible; codelijstsignaal",gs1:awardPrizeCountryCode,37.6,gs1:countrySubdivisionCode,36.8,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,72.0,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
cfpValue/@cfpValueMeasurementUnitCode,1,8737,string,,gs1:unitCode,Measurement Unit,xsd:string,64.0,review_candidate,false,"matige naamgelijkenis (67%); gedeelde termen: measurement, unit; definitie-overlap: measure, unit, used; datatype/range broadly compatible",gs1:value,38.1,gs1:sizeCodeValue,12.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,0,3,0,0,67.3,antigravity=needs_human_review | gemini=needs_human_review | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
cheeseMaturationPeriodDescription,1,890,Description70,,gs1:cheeseMaturationPeriodDescription,Cheese Maturation Period Description,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: cheese, description, maturation, period; definitie-overlap: 1, 3, 4, aged, also, but, cheeses, date; datatype/range broadly compatible",gs1:textileMaterialDescription,25.9,gs1:productDescription,25.5,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",unanimous_accept,4,4,0,0,0,99.2,antigravity=accept | gemini=accept | deepresearch=accept | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
cheeseMaturationPeriodDescription/@languageCode,1,891,LanguageCode,LanguageCode,gs1:cheeseMaturationPeriodDescription,Cheese Maturation Period Description,rdf:langString,67.9,review_candidate,false,"sterke naamgelijkenis (83%); gedeelde termen: cheese, description, maturation, period; datatype/range broadly compatible",gs1:fileLanguageCode,30.0,gs1:locationDescription,29.2,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",conflicted,3,1,1,0,1,85.0,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=no_equivalent,Keep review-only; resolve conflicting semantics or target property.
chemicalIngredientName,1,3189,string,,gs1:ingredientName,Ingredient Name,rdf:langString,62.5,review_candidate,false,sterke naamgelijkenis (75%); gedeelde termen: ingredient; datatype/range broadly compatible,gs1:ingredient,41.3,gs1:ingredientStatement,34.2,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,69.0,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
childNutritionExpirationDateTime,1,752,DateTime,,gs1:expirationDateTime,Expiration Date and Time,xsd:dateTime,69.6,review_candidate,false,"sterke naamgelijkenis (73%); gedeelde termen: date, expiration, time; definitie-overlap: date, label; datatype/range compatible",gs1:expirationDate,56.6,gs1:productionDateTime,37.2,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,4,1,3,0,0,73.8,antigravity=needs_human_review | gemini=accept | deepresearch=needs_human_review | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
claimDescription,1,7239,Description5000,,gs1:healthClaimDescription,Health Claim,rdf:langString,69.1,review_candidate,false,"sterke naamgelijkenis (82%); gedeelde termen: claim, description; definitie-overlap: claims, health; datatype/range broadly compatible",gs1:productDescription,40.6,gs1:variantDescription,39.5,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,4,1,2,0,0,74.3,antigravity=needs_human_review | gemini=accept | deepresearch=needs_human_review | chatgpt=alternative gs1:nutritionalClaimStatement: needs_human_review,Keep review-only; authoritative standards review required.
clampPressure/@measurementUnitCode,1,3584,MeasurementUnitCode,MeasurementUnitCode_GDSN,gs1:unitCode,Measurement Unit,xsd:string,64.3,review_candidate,false,"matige naamgelijkenis (67%); gedeelde termen: measurement, unit; definitie-overlap: measure, unit, used; datatype/range broadly compatible; codelijstsignaal",gs1:nutrientBasisQuantityType,18.3,gs1:value,18.1,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,75.7,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
clothingCut,1,450,Description70,,gs1:clothingCut,Clothing Cut,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: clothing, cut; definitie-overlap: boot, clothing, comfort, cut, details, example, fit, garment; datatype/range broadly compatible",gs1:companyFilingURL,10.4,gs1:packaging,10.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",unanimous_accept,4,4,0,0,0,99.2,antigravity=accept | gemini=accept | deepresearch=accept | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
collarType,1,452,Description70,,gs1:collarType,Collar Type,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: collar; definitie-overlap: collar, description, free, garment, text; datatype/range broadly compatible",gs1:dietTypeDescription,14.1,gs1:glnType,13.7,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",unanimous_accept,4,4,0,0,0,99.2,antigravity=accept | gemini=accept | deepresearch=accept | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
collectingEffectiveStartDateTime,1,8843,DateTime,,gs1:referencedFileEffectiveStartDateTime,Referenced File Effective Start Date,xsd:dateTime,60.5,review_candidate,false,"matige naamgelijkenis (65%); gedeelde termen: date, effective, start, time; definitie-overlap: begins, date, effective, upon; datatype/range compatible",gs1:referencedFileEffectiveEndDateTime,44.0,gs1:productionVariantEffectiveDateTime,42.7,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,68.3,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
colourCode,1,3554,ColourCode,,gs1:colourCode,Has Colour Code,gs1:ColourCodeDetails,100.0,strong_candidate,false,exacte naam; gedeelde termen: colour; datatype/range broadly compatible,gs1:colourCodeValue,100.0,gs1:colourCodeList,62.0,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",conflicted,4,2,1,0,0,94.7,antigravity=accept | gemini=accept | deepresearch=alternative gs1:colourCodeValue: accept | chatgpt=needs_human_review,Keep review-only; resolve conflicting semantics or target property.
colourCode/@colourCodeListCode,1,6242,string,,gs1:colourCodeList,Colour Code List,gs1:ColourCodeListCode,74.6,review_candidate,false,"sterke naamgelijkenis (86%); gedeelde termen: colour, list; datatype/range broadly compatible",gs1:colourCode,53.3,gs1:colourCodeValue,41.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,4,0,4,0,0,75.2,antigravity=needs_human_review | gemini=needs_human_review | deepresearch=needs_human_review | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
colourCode/@colourCodeListVersion,1,6245,string,,gs1:colourCodeList,Colour Code List,gs1:ColourCodeListCode,60.3,review_candidate,false,"sterke naamgelijkenis (73%); gedeelde termen: colour, list; datatype/range broadly compatible",gs1:colourCode,44.3,gs1:colourCodeValue,32.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",conflicted,3,0,2,0,1,71.7,antigravity=needs_human_review | gemini=needs_human_review | deepresearch=not_reviewed | chatgpt=no_equivalent,Keep review-only; resolve conflicting semantics or target property.
colourDescription,1,3552,Description80,,gs1:colourDescription,Colour Description,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: colour, description; definitie-overlap: colour, description, object; datatype/range broadly compatible",gs1:productDescription,44.1,gs1:offerDescription,43.5,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",accept_consensus,4,2,1,0,0,96.7,antigravity=accept | gemini=accept | deepresearch=alternative gs1:offerDescription: no_equivalent | chatgpt=needs_human_review,Keep review-only until remaining reviewer concerns are resolved.
colourDescription/@languageCode,1,3553,LanguageCode,LanguageCode,gs1:colourDescription,Colour Description,rdf:langString,65.8,review_candidate,false,"matige naamgelijkenis (71%); gedeelde termen: colour, description; datatype/range broadly compatible",gs1:fileLanguageCode,37.0,gs1:locationDescription,34.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",conflicted,3,1,1,0,1,84.3,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=no_equivalent,Keep review-only; resolve conflicting semantics or target property.
colourTemperature/@temperatureMeasurementUnitCode,1,5931,TemperatureMeasurementUnitCode,TemperatureMeasurementUnitCode,gs1:unitCode,Measurement Unit,xsd:string,60.5,review_candidate,false,"matige naamgelijkenis (57%); gedeelde termen: measurement, unit; definitie-overlap: measure, unit, used; datatype/range broadly compatible; codelijstsignaal",gs1:colourCode,25.1,gs1:colourCodeValue,25.1,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,0,3,0,0,66.0,antigravity=needs_human_review | gemini=needs_human_review | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
compulsoryAdditionalLabelInformation,1,6776,Description5000,,gs1:compulsoryAdditionalLabelInformation,Compulsory Additional Label Information,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: additional, compulsory, information, label; definitie-overlap: additional, compulsory, information, label, legally, packaging, required, stated; datatype/range broadly compatible",gs1:compulsoryAdditionalLabelInformationType,89.8,gs1:compulsoryAdditionalInformation,68.5,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",unanimous_accept,4,4,0,0,0,99.2,antigravity=accept | gemini=accept | deepresearch=accept | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
compulsoryAdditionalLabelInformation/@languageCode,1,6777,LanguageCode,LanguageCode,gs1:compulsoryAdditionalLabelInformation,Compulsory Additional Label Information,rdf:langString,68.4,review_candidate,false,"sterke naamgelijkenis (84%); gedeelde termen: additional, compulsory, information, label; datatype/range broadly compatible",gs1:compulsoryAdditionalLabelInformationType,59.8,gs1:compulsoryAdditionalInformation,46.6,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",conflicted,3,1,1,0,1,85.3,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=no_equivalent,Keep review-only; resolve conflicting semantics or target property.
compulsoryAdditionalLabelInformationTypeCode,1,6778,CompulsoryAdditionalLabelInformationTypeCode,CompulsoryAdditionalLabelInformationTypeCode,gs1:compulsoryAdditionalLabelInformationType,Compulsory Additional Label Information Type,gs1:CompulsoryAdditionalLabelInformationTypeCode,95.0,strong_candidate,false,"sterke naamgelijkenis (95%); gedeelde termen: additional, compulsory, information, label; definitie-overlap: additional, compulsory, indicating, information, label, legally, packaging, required; datatype/range broadly compatible; codelijstsignaal",gs1:compulsoryAdditionalLabelInformation,87.8,gs1:compulsoryAdditionalInformation,64.5,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",strong_accept_consensus,4,3,1,0,0,95.0,antigravity=accept | gemini=accept | deepresearch=accept | chatgpt=needs_human_review,Eligible for human promotion review; structure and codelists still required.
